cluster	gene_name	gene_id	isTF	E9.5VSE10.5_l2fc	E9.5VSE10.5_padj	E10.5VSE11.5_l2fc	E10.5VSE11.5_padj	E11.5VSE12.5_l2fc	E11.5VSE12.5_padj
Ect1	Rnf150	ENSMUSG00000047747	FALSE	NA	NA	NA	NA	NA	NA
Ect2	Eogt	ENSMUSG00000035245	FALSE	-2.55415025984406	9.13300112083382e-16	NA	NA	NA	NA
Ect6	St3gal1	ENSMUSG00000013846	FALSE	1.82828850360626	3.48565037861786e-10	NA	NA	NA	NA
Ect1	Flrt2	ENSMUSG00000047414	FALSE	NA	NA	NA	NA	2.64557264042719	9.58052081056107e-09
Ect1	Cbx4	ENSMUSG00000039989	TRUE	-2.46094468021184	2.12067046948586e-07	NA	NA	NA	NA
Ect3	Alpl	ENSMUSG00000028766	FALSE	NA	NA	-2.32448730703745	8.2470397870609e-08	NA	NA
Ect1	Oxct1	ENSMUSG00000022186	FALSE	-1.95579944576083	1.08109732196965e-12	NA	NA	NA	NA
Ect1	Brinp1	ENSMUSG00000028351	FALSE	-1.80009515649876	8.27002296156528e-05	NA	NA	NA	NA
Ect6	Sall4	ENSMUSG00000027547	TRUE	1.73555620860579	7.88446367006476e-09	NA	NA	-2.35449327676424	0.000490242452607367
Ect1	Wnt7b	ENSMUSG00000022382	FALSE	-2.07547423149583	8.50398018343675e-12	NA	NA	NA	NA
Ect1	Nrxn1	ENSMUSG00000024109	FALSE	NA	NA	NA	NA	1.71497277379902	0.00927826716427026
Ect1	C1s1	ENSMUSG00000038521	FALSE	NA	NA	NA	NA	2.20397211329615	0.000130524706597356
Ect1	Cacng4	ENSMUSG00000020723	FALSE	-1.77783642745677	1.00129193914399e-06	NA	NA	NA	NA
Ect1	Ldlrad4	ENSMUSG00000024544	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Chd3	ENSMUSG00000018474	FALSE	NA	NA	NA	NA	NA	NA
Ect3	Cbln1	ENSMUSG00000031654	FALSE	-4.64715879625773	4.43597755958279e-09	NA	NA	-2.95523386957909	6.79359871993779e-08
Ect1	Ankrd6	ENSMUSG00000040183	TRUE	NA	NA	NA	NA	NA	NA
Ect3	Gli1	ENSMUSG00000025407	TRUE	-5.36894784710456	6.50564413343122e-27	NA	NA	-3.52038343306086	1.79612643005788e-09
Ect1	Sostdc1	ENSMUSG00000036169	FALSE	NA	NA	NA	NA	NA	NA
Ect2	Rflnb	ENSMUSG00000020846	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Scel	ENSMUSG00000022123	FALSE	NA	NA	2.05680037271805	0.0108026088893066	NA	NA
Ect6	Nr6a1	ENSMUSG00000063972	FALSE	2.74994570269266	4.15534019142681e-23	-2.00768043190003	0.0214924924045972	NA	NA
Ect1	Ltbp4	ENSMUSG00000040488	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Slc16a3	ENSMUSG00000025161	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Cyp26c1	ENSMUSG00000062432	FALSE	-2.92454508534026	0.00774382871402057	1.53678543412306	0.0286708119808408	NA	NA
Ect3	Rcan2	ENSMUSG00000039601	FALSE	-3.45020500949856	9.80985040416793e-22	NA	NA	NA	NA
Ect1	Trpc4	ENSMUSG00000027748	FALSE	NA	NA	3.45774373136011	0.0010597555963854	1.7134393690922	0.00436646802614572
Ect1	Nrarp	ENSMUSG00000078202	FALSE	-2.91584658645079	5.29332601099843e-20	NA	NA	NA	NA
Ect1	Sema3d	ENSMUSG00000040254	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Zbtb46	ENSMUSG00000027583	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Hoxb8	ENSMUSG00000056648	TRUE	2.99782907653934	5.0726040033598e-05	NA	NA	NA	NA
Ect6	Fignl2	ENSMUSG00000095440	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Lypd3	ENSMUSG00000057454	FALSE	-6.30992775694976	1.65894902706568e-17	NA	NA	NA	NA
Ect1	Akap2	ENSMUSG00000038729	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Ret	ENSMUSG00000030110	FALSE	3.56023393513738	2.78085616151653e-08	NA	NA	NA	NA
Ect6	Kcnip3	ENSMUSG00000079056	TRUE	1.52009560917681	0.000462300502361828	NA	NA	NA	NA
Ect2	Gadd45b	ENSMUSG00000015312	FALSE	-3.9189839537836	2.2764540281109e-06	NA	NA	NA	NA
Ect6	Mmp28	ENSMUSG00000020682	FALSE	1.94031754883081	0.00153086871589063	-3.61352276674384	0.0189009226492178	NA	NA
Ect6	Gap43	ENSMUSG00000047261	FALSE	NA	NA	-2.06985122611531	0.00246195901433267	-2.44805086230074	0.00423942817250544
Ect2	Aox3	ENSMUSG00000064294	FALSE	-7.44487477561365	2.00567357896666e-42	NA	NA	NA	NA
Ect4	Hoxb6	ENSMUSG00000000690	TRUE	4.28170992642094	6.49259205895778e-07	NA	NA	NA	NA
Ect1	Penk	ENSMUSG00000045573	FALSE	-2.06424429811344	4.59946172502692e-05	NA	NA	NA	NA
Ect6	Col14a1	ENSMUSG00000022371	FALSE	6.81261076236411	6.32699966641111e-07	NA	NA	NA	NA
Ect6	Dnmt3b	ENSMUSG00000027478	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Nr2e3	ENSMUSG00000032292	TRUE	NA	NA	NA	NA	2.25540076906356	0.000634957039001425
Ect6	Plekha2	ENSMUSG00000031557	FALSE	NA	NA	-1.80203344240685	0.000861973037404058	NA	NA
Ect1	Prnp	ENSMUSG00000079037	FALSE	-1.66733943408036	4.180746401621e-05	NA	NA	NA	NA
Ect1	Anxa8	ENSMUSG00000021950	FALSE	-2.14708509001689	0.046397330616837	2.0890197559688	0.014875511770727	1.91125683634362	0.0228316044813805
Ect6	Fbxo40	ENSMUSG00000047746	FALSE	NA	NA	NA	NA	NA	NA
Ect3	Pcdh19	ENSMUSG00000051323	FALSE	NA	NA	-2.04710503384385	8.80364710479478e-07	NA	NA
Ect6	Glis3	ENSMUSG00000052942	TRUE	1.59028487016364	0.00173922091726071	NA	NA	NA	NA
Ect6	Ndufa4l2	ENSMUSG00000040280	FALSE	1.83032166669385	0.00126414157326	-2.64726096831319	0.02699884878354	NA	NA
Ect3	Cntn2	ENSMUSG00000053024	FALSE	NA	NA	-2.05097451289958	4.75393257296465e-06	NA	NA
Ect1	Frmpd1	ENSMUSG00000035615	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Gpx3	ENSMUSG00000018339	FALSE	NA	NA	NA	NA	-1.81808172832347	0.00132194070388625
Ect3	Ptch2	ENSMUSG00000028681	FALSE	-5.18615249975162	3.3177587300176e-37	NA	NA	-3.89053023895501	1.79612643005788e-09
Ect1	Lax1	ENSMUSG00000051998	FALSE	-5.53847763794528	1.7158281817957e-05	NA	NA	NA	NA
Ect1	Snx31	ENSMUSG00000013611	FALSE	-4.39038354563329	0.000223844197424678	NA	NA	NA	NA
Ect1	Pla2g7	ENSMUSG00000023913	FALSE	-3.13513237016536	0.00233294239630094	1.65357659870376	0.0177800785202036	NA	NA
Ect1	Pcdhb19	ENSMUSG00000043313	FALSE	-2.96769373893665	0.00825725453413165	NA	NA	NA	NA
Ect1	Antxr1	ENSMUSG00000033420	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Cux1	ENSMUSG00000029705	TRUE	NA	NA	NA	NA	NA	NA
Ect1	Cdkn2b	ENSMUSG00000073802	FALSE	-7.93957748148691	7.25746732078598e-05	NA	NA	NA	NA
Ect2	Heyl	ENSMUSG00000032744	TRUE	-4.42812880382869	5.65443997727026e-30	NA	NA	NA	NA
Ect4	Lgi2	ENSMUSG00000039252	FALSE	2.47266109880297	6.26102637852804e-13	NA	NA	NA	NA
Ect6	Scn4b	ENSMUSG00000046480	FALSE	1.55190456512441	6.58905889488835e-07	NA	NA	NA	NA
Ect3	Lama1	ENSMUSG00000032796	FALSE	NA	NA	NA	NA	-1.73651284256305	8.15722515307982e-05
Ect1	Fam84a	ENSMUSG00000020607	FALSE	-2.07369600642517	9.01752100527152e-05	NA	NA	1.85450671005119	0.00324368220777126
Ect1	Cyp2w1	ENSMUSG00000029541	FALSE	NA	NA	6.87246958505045	0.0355035616091562	2.50573547609285	0.0077354298922085
Ect1	Apbb2	ENSMUSG00000029207	TRUE	NA	NA	NA	NA	NA	NA
Ect3	Fgf8	ENSMUSG00000025219	FALSE	-2.17050640832747	3.43873248126275e-09	-2.01690368680512	0.000158624857663423	-2.16875702794589	3.5537329026275e-06
Ect1	Dgka	ENSMUSG00000025357	FALSE	-1.7594496584245	6.48074938729217e-06	NA	NA	NA	NA
Ect1	Klf5	ENSMUSG00000005148	TRUE	NA	NA	NA	NA	NA	NA
Ect1	Limch1	ENSMUSG00000037736	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Slit2	ENSMUSG00000031558	FALSE	NA	NA	1.74157837961715	0.000464072061851171	NA	NA
Ect6	Mylk	ENSMUSG00000022836	FALSE	NA	NA	-2.11963517803632	0.00065393876693198	NA	NA
Ect1	Car12	ENSMUSG00000032373	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Adamts17	ENSMUSG00000058145	FALSE	-2.7716147942945	1.59578217481381e-14	NA	NA	1.85997213560919	0.00300163716366868
Ect1	Ltbp3	ENSMUSG00000024940	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Cxcl12	ENSMUSG00000061353	FALSE	NA	NA	NA	NA	1.62278430388286	0.0032991015199883
Ect1	Aox4	ENSMUSG00000038242	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Fam196b	ENSMUSG00000069911	FALSE	NA	NA	1.50438695658463	0.00190757415056165	NA	NA
Ect1	Cald1	ENSMUSG00000029761	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Ptgis	ENSMUSG00000017969	FALSE	NA	NA	NA	NA	-2.15233067908062	0.00120544067229034
Ect1	Myl9	ENSMUSG00000067818	FALSE	-2.0280840523146	3.53526315495289e-10	NA	NA	NA	NA
Ect1	Ndrg2	ENSMUSG00000004558	FALSE	-1.73679929613478	0.00133844507530421	NA	NA	NA	NA
Ect1	Osbpl3	ENSMUSG00000029822	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Rhbg	ENSMUSG00000104445	FALSE	-4.99313108753265	0.00101558269020803	NA	NA	NA	NA
Ect6	Tcf7	ENSMUSG00000000782	TRUE	NA	NA	NA	NA	NA	NA
Ect1	Col8a1	ENSMUSG00000068196	FALSE	NA	NA	NA	NA	3.22039681220722	0.000125430277079004
Ect1	Enam	ENSMUSG00000029286	FALSE	NA	NA	6.56407138764668	0.0150957402543561	NA	NA
Ect1	Fzd10	ENSMUSG00000081683	FALSE	-2.10846987557799	1.15308734494585e-15	NA	NA	NA	NA
Ect6	Slc27a6	ENSMUSG00000024600	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Bend4	ENSMUSG00000092060	FALSE	NA	NA	NA	NA	NA	NA
Ect6	Sct	ENSMUSG00000038580	FALSE	NA	NA	NA	NA	-2.17252265659567	0.000548158577125664
Ect1	Rps6ka4	ENSMUSG00000024952	FALSE	-1.78163190743138	0.00166947852552444	NA	NA	NA	NA
Ect6	Greb1l	ENSMUSG00000042942	FALSE	NA	NA	NA	NA	NA	NA
Ect1	Kcnma1	ENSMUSG00000063142	FALSE	-2.60359021387251	0.0476453581608308	NA	NA	NA	NA
Ect1	Krt35	ENSMUSG00000048013	FALSE	NA	NA	NA	NA	NA	NA
